Frecuencia (Hz),Magnitud
0.0,27282.0
10.7666015625,34966.67664594665
21.533203125,67655.58911240585
32.2998046875,113338.5730420215
43.06640625,157656.384515722
53.8330078125,194475.37503440658
64.599609375,218235.94917052094
75.3662109375,216766.8365638642
86.1328125,181986.84880417536
96.8994140625,118458.19798934048
107.666015625,41967.54926475185
118.4326171875,54584.44211426442
129.19921875,112447.57287115614
139.9658203125,137717.54765204678
150.732421875,124038.95635052769
161.4990234375,78363.2348203988
172.265625,28061.77469244751
183.0322265625,55684.26075989781
193.798828125,88042.46648292201
204.5654296875,86795.11509432488
215.33203125,50324.32507709929
226.0986328125,12521.377829166859
236.865234375,80758.54431228209
247.6318359375,137599.53631510274
258.3984375,167436.00136575528
269.1650390625,163996.2864761904
279.931640625,131105.7273953127
290.6982421875,81371.36217350312
301.46484375,33334.41424736969
312.2314453125,24317.360855273408
322.998046875,37072.8834444691
333.7646484375,31975.978533077447
344.53125,13326.526007682696
355.2978515625,22028.44395930683
366.064453125,47897.33771474955
376.8310546875,68331.1777424482
387.59765625,82716.46370184183
398.3642578125,92933.94090555531
409.130859375,98539.09721028982
419.8974609375,96273.6020319275
430.6640625,83601.62771329492
441.4306640625,62188.67236032571
452.197265625,39957.43906383627
462.9638671875,29441.94905179873
473.73046875,29437.057760776508
484.4970703125,24067.17288294024
495.263671875,15233.97074273405
506.0302734375,30386.914288235657
516.796875,53876.88261846694
527.5634765625,68987.12424268734
538.330078125,68941.38736749091
549.0966796875,53011.85348984234
559.86328125,28506.453389348986
570.6298828125,24052.639071094327
581.396484375,46561.29550099083
592.1630859375,63561.59041294555
602.9296875,68871.18991091265
613.6962890625,64015.00313044307
624.462890625,54711.064712791784
635.2294921875,48700.467440229644
645.99609375,48063.55913734192
656.7626953125,48361.47459790954
667.529296875,45778.04641729065
678.2958984375,38433.641377090295
689.0625,26525.473036779113
699.8291015625,12727.522525310882
710.595703125,6938.6608812943305
721.3623046875,16036.884229947465
732.12890625,22875.50209091418
742.8955078125,25353.54648159793
